Name,Category Prize,Year
Thomas R. Cech,Chemistry,1989
Martin Chalfie,Chemistry,2008
Aaron Ciechanover,Chemistry,2004
Walter Gilbert,Chemistry,1980
Richard Henderson,Chemistry,2017
Avram Hershko,Chemistry,2004
Roald Hoffmann,Chemistry,1981
Brian K. Kobilka,Chemistry,2012
Roger D. Kornberg,Chemistry,2006
Yuan T. Lee,Chemistry,1986
Robert J. Lefkowitz,Chemistry,2012
Jean-Marie Lehn,Chemistry,1987
Tomas Lindahl,Chemistry,2015
Roderick MacKinnon,Chemistry,2003
Paul L. Modrich,Chemistry,2015
Jean-Pierre Sauvage,Chemistry,2016
Richard R. Schrock,Chemistry,2005
Sir John E. Walker,Chemistry,1997
Arieh Warshel,Chemistry,2013
Sir Gregory P. Winter,Chemistry,2018
Kurt Wuthrich,Chemistry,2002
Finn E. Kydland,Economics,2004
Harvey J. Alter,Medicine,2020
Werner Arber,Medicine,1978
Francoise Barre-Sinoussi,Medicine,2008
Elizabeth H. Blackburn,Medicine,2009
Andrew Z. Fire,Medicine,2006
Jules A. Hoffmann,Medicine,2011
Tasuku Honjo,Medicine,2018
H. Robert Horvitz,Medicine,2002
Sir Michael Houghton,Medicine,2020
Tim Hunt,Medicine,2001
Louis J. Ignarro,Medicine,1998
William G. Kaelin Jr.,Medicine,2019
Barry J. Marshall,Medicine,2005
Craig C. Mello,Medicine,2006
Edvard Moser,Medicine,2014
May-Britt Moser,Medicine,2014
Sir Paul M. Nurse,Medicine,2001
Stanley B. Prusiner,Medicine,1997
Sir Peter J. Ratcliffe,Medicine,2019
Charles M. Rice,Medicine,2020
Sir Richard J. Roberts,Medicine,1993
Michael Rosbash,Medicine,2017
Phillip A. Sharp,Medicine,1993
Susumu Tonegawa,Medicine,1987
Harold E. Varmus,Medicine,1989
Torsten N. Wiesel,Medicine,1981
Barry Clark Barish,Physics,2017
Steven Chu,Physics,1997
Albert Fert,Physics,2007
Andre Geim,Physics,2010
Sheldon Glashow,Physics,1979
David J. Gross,Physics,2004
John L. Hall,Physics,2005
Serge Haroche,Physics,2012
Takaaki Kajita,Physics,2015
Ferenc Krausz,Physics,2023
Anthony J. Leggett,Physics,2003
Michel Mayor,Physics,2019
Konstantin Novoselov,Physics,2010
Giorgio Parisi,Physics,2021
Roger Penrose,Physics,2020
William D. Phillips,Physics,1997
H. David Politzer,Physics,2004
Donna Strickland,Physics,2018
Kip Stephen Thorne,Physics,2017
David J. Wineland,Physics,2012
